ORIGIN,DEST,DISTANCE,CRS_ELAPSED_TIME
AUS,BOS,1698.0,232.11978465679678
AUS,BWI,1342.0,188.29710144927537
AUS,CLT,1032.0,155.90721649484536
AUS,DAL,189.0,55.86275713847098
AUS,DCA,1315.0,183.02777777777777
AUS,DEN,775.0,136.23615694902824
AUS,DFW,190.0,66.33938125145383
AUS,DTW,1149.0,178.9014675052411
AUS,ELP,528.0,94.65848452508004
AUS,EWR,1504.0,218.30180921052633
AUS,FLL,1105.0,157.6789667896679
AUS,HOU,148.0,51.423405654174886
AUS,HRL,273.0,61.88034188034188
AUS,IAD,1297.0,190.39310344827587
AUS,IAH,140.0,63.00599700149925
AUS,JFK,1521.0,220.82332361516035
AUS,LAS,1090.0,176.7998511904762
AUS,LAX,1242.0,200.58167467398764
AUS,LBB,341.0,70.58743169398907
AUS,LGB,1226.0,184.8492569002123
AUS,MCO,994.0,149.10353982300884
AUS,MDW,972.0,152.20906282183316
AUS,MEM,559.0,100.0
AUS,MIA,1103.0,165.28012048192772
AUS,MSP,1042.0,164.50393700787401
AUS,MSY,444.0,79.0234375
AUS,OAK,1497.0,231.1484593837535
AUS,ORD,977.0,164.55157992565057
AUS,PDX,1715.0,258.71462264150944
AUS,PHL,1430.0,205.3684210526316
AUS,PHX,872.0,147.18804920913885
AUS,SAN,1164.0,180.69016152716594
AUS,SEA,1770.0,260.94110854503464
AUS,SFO,1504.0,234.32406519654842
AUS,SJC,1476.0,228.06748466257667
AUS,SLC,1086.0,177.27737226277372
AUS,SNA,1209.0,185.78082191780823
AUS,STL,721.0,116.76712328767124
AUS,TPA,928.0,135.91280653950955
AVL,ATL,164.0,66.21865639709029
AVL,EWR,583.0,115.54040404040404
AVL,LGA,599.0,126.0
AVL,ORD,536.0,119.42926239419589
AVP,ATL,714.0,136.42931937172776
AVP,DTW,399.0,101.62936046511628
AVP,EWR,93.0,58.96739130434783
AVP,ORD,632.0,133.4798464491363
AZO,DTW,113.0,59.15523465703971
AZO,MSP,426.0,108.3921568627451
AZO,ORD,122.0,59.563672260612044
BDL,ATL,859.0,160.1835728952772
BDL,BWI,283.0,74.24416222859483
BDL,CLE,476.0,113.06666666666666
BDL,CLT,644.0,131.11273957158963
BDL,DCA,313.0,87.11158798283262
BDL,DEN,1671.0,265.19905956112854
BDL,DFW,1471.0,246.3765060240964
BDL,DTW,549.0,119.61879194630872
BDL,EWR,116.0,66.29319371727749
BDL,FLL,1173.0,191.10732714138288
BDL,IAD,326.0,85.03883495145631
BDL,LAS,2297.0,339.47986577181206
BDL,LAX,2527.0,375.09
BDL,MCO,1050.0,176.31242873432154
BDL,MDW,777.0,150.58544303797467
BDL,MIA,1194.0,199.3501400560224
BDL,MSP,1050.0,181.56343792633015
BDL,ORD,783.0,159.4313874147081
BDL,PBI,1133.0,180.05626598465474
BDL,PHL,196.0,81.76
BDL,RDU,532.0,104.36842105263158
BDL,RSW,1180.0,200.73202614379085
BDL,SJU,1666.0,228.29861111111111
BDL,TPA,1111.0,185.34097706879362
BET,ANC,399.0,66.64429530201342
BFL,DEN,845.0,149.33834586466165
BFL,IAH,1428.0,202.58823529411765
BFL,PHX,425.0,97.98170246618933
BFL,SFO,238.0,73.39652448657188
BGM,DTW,378.0,96.53784403669725
BGR,DTW,750.0,142.24427480916032
BGR,EWR,393.0,90.70175438596492
BGR,LGA,378.0,99.97872340425532
BHM,ATL,134.0,65.18712493180578
BHM,BWI,682.0,114.84
BHM,DAL,587.0,110.7163323782235
BHM,DEN,1083.0,183.925
BHM,DFW,597.0,131.4
BHM,DTW,625.0,127.63070539419087
BHM,HOU,570.0,110.85218702865761
BHM,IAH,562.0,120.29963235294117
BHM,LAS,1618.0,245.26923076923077
BHM,LGA,866.0,149.08644400785855
BHM,MCO,479.0,89.00139664804469
BHM,MDW,570.0,109.47826086956522
BHM,ORD,584.0,129.38798283261804
BHM,PHX,1455.0,229.0
BHM,TPA,459.0,82.82640949554896
BIL,DEN,455.0,92.61515151515151
BIL,MSP,748.0,117.33715012722647
BIL,ORD,1060.0,160.7
BIL,SEA,664.0,124.5578947368421
BIL,SLC,387.0,84.26447709593776
BIS,DEN,516.0,105.32854406130268
BIS,MSP,386.0,86.01518602885345
BJI,MSP,199.0,63.46280991735537
BLI,HNL,2715.0,381.86516853932585
BLI,KOA,2732.0,392.85714285714283
BLI,LAS,954.0,148.9578947368421
BLI,OGG,2681.0,392.94117647058823
BLI,SEA,93.0,44.94117647058823
BMI,ATL,533.0,102.07815845824412
BMI,DTW,313.0,83.37837837837837
BMI,MSP,375.0,91.9
